Input,Tempo Médio (segundos),Contador Médio,Algoritmo
500,0.06548466666666668,41666000,Original Algorithm
500,0.000256,41666000,Optimized Algorithm
1000,0.5193358333333332,333332000,Original Algorithm
1000,0.0009559999999999999,333332000,Optimized Algorithm
2000,4.134691666666666,2666664000,Original Algorithm
2000,0.003767,2666664000,Optimized Algorithm
2500,8.062164833333334,5208330000,Original Algorithm
2500,0.006930666666666666,5208330000,Optimized Algorithm
3000,13.923120500000001,8999996000,Original Algorithm
3000,0.009019999999999999,8999996000,Optimized Algorithm
4000,33.017653,21333328000,Original Algorithm
4000,0.015028666666666668,21333328000,Optimized Algorithm
5000,64.44222049999999,41666660000,Original Algorithm
5000,0.02336116666666667,41666660000,Optimized Algorithm
6000,111.29249549999999,71999992000,Original Algorithm
6000,0.033666,71999992000,Optimized Algorithm
7000,177.31091949999998,114333324000,Original Algorithm
7000,0.046191499999999996,114333324000,Optimized Algorithm
8000,263.98722983333334,170666656000,Original Algorithm
8000,0.06134616666666667,170666656000,Optimized Algorithm
9000,375.95157650000004,242999988000,Original Algorithm
9000,0.07695466666666667,242999988000,Optimized Algorithm
10000,516.0352423333333,333333320000,Original Algorithm
10000,0.0948915,333333320000,Optimized Algorithm
11000,685.5891856666667,443666652000,Original Algorithm
11000,0.1134005,443666652000,Optimized Algorithm
12000,890.5404691666668,575999984000,Original Algorithm
12000,0.13458816666666665,575999984000,Optimized Algorithm
